x_led,y_led,designator
6413,33,U1
710,2755,U68
6975,1482,U8
2371,2946,U72
1418,6017,U55
-254,1915,U45
1189,1314,U26
1605,3569,U65
-86,2329,U46
6105,3484,U81
2806,2989,U73
-762,650,U42
8203,1426,U91
1784,4407,U63
6592,2505,U12
5288,2489,U15
3665,2864,U75
5652,444,U3
2152,5660,U60
755,4396,U51
-923,231,U41
1485,-405,U30
1257,884,U27
7831,3476,U85
6567,1355,U7
7024,2448,U11
8662,2173,U89
588,3990,U50
2387,1624,U22
-482,-1346,U37
1116,2595,U69
7328,1738,U9
251,3158,U48
8241,3335,U86
-1015,-206,U40
4523,2772,U77
1703,1779,U24
1271,1738,U25
1086,5212,U53
-423,1497,U44
4092,2791,U76
344,-1604,U35
83,2744,U47
1529,2717,U70
7402,3511,U84
5727,1143,U5
3181,1977,U20
-966,-644,U39
1558,-835,U31
2779,1812,U21
2306,6512,U58
7581,275,U94
4857,2434,U16
4945,2886,U78
1409,25,U29
1779,3971,U64
8549,3025,U87
416,3574,U49
1333,454,U28
1988,1453,U23
8703,2612,U88
1853,4836,U62
6839,-46,U96
2319,6071,U59
779,-1606,U34
811,3188,U67
6969,3536,U83
3592,2122,U19
7369,2173,U10
1583,6419,U56
6159,2530,U13
1537,-1267,U32
1909,6702,U57
8451,1785,U90
3239,2946,U74
7274,-35,U95
1211,3375,U66
920,4804,U52
1947,2848,U71
5725,2525,U14
1988,5255,U61
7973,1053,U92
4429,2356,U17
6538,3545,U82
5331,3087,U79
4004,2249,U18
1250,5615,U54
-88,-1539,U36
6007,197,U2
5431,822,U4
-785,-1038,U38
5703,3315,U80
7777,664,U93
-591,1078,U43
6141,1268,U6
1208,-1555,U33